"word1","word2","n"
"rt","pcr",4
"samples","treat",4
"screening","offers",4
"severe","diseases",4
"severe","lower",4
"sharing","information",4
"sick","animals",4
"sick","avoid",4
"sick","avoiding",4
"sick","practice",4
"sick","wash",4
"soap","amp",4
"specific","diagnostic",4
"specific","health",4
"speedy","information",4
"supplies","communicate",4
"syndrome","mers",4
"syndrome","sars",4
"system","specifically",4
"test","samples",4
"time","rt",4
"today's","coronavirus",4
"touching","animals",4
"touching","one¡¯s",4
"trade","restrictions",4
"transmission","patterns",4
"transmitted","clinical",4
"travelling","avoid",4
"treat","patients",4
"unprotected","contact",4
"urges","countries",4
"virus","breaking",4
"waste","coronavirus",4
"wednesday","22",4
"wet","markets",4
"who¡¯s","situation",4
"wild","animals",4
"wuhan","amp",4
"10","days",3
"12h00","cet",3
"14h15","gmt",3
"15h15","cet",3
"17","deaths",3
"2","10",3
"2020","12h00",3
"23","january",3
"26","jan",3
"2rjjugm","dr",3
"30x5ei9","who¡¯s",3
"37c3jva","clinical",3
"37u0ht7","coronavirus",3
"37u0ht7","current",3
"37u0ht7","understanding",3
"accelerate","research",3
"accelerated","scbriand",3
"actions","benzie135",3
"additional","investigation",3
"affected","countries",3
"allowed","thailand",3
"america","amp",3
"amp","global",3
"amp","sequencing",3
"amp","transparency",3
"amp","vietnam",3
"analyze","2019",3
"animals","pets",3
"anonymized","clinical",3
"antibiotics","effective",3
"antiviral","therapy",3
"authors","consent",3
"binary","nature",3
"biomedical","equipment",3
"care","facilities",3
"care","guidance",3
"care","patients",3
"care","settings",3
"care","workers",3
"cet","14h15",3
"chairing","today's",3
"china","based",3
"china","genetic",3
"china","noted",3
"china¡¯s","minister",3
"china¡¯s","presentation",3
"clinical","condition",3
"clinical","protocols",3
"clinical","response",3
"commodity","package",3
"common","source",3
"community","drtedros",3
"companion","animals",3
"completely","committed",3
"containment","measures",3
"continually","monitoring",3
"contribute","anonymized",3
"control","efforts",3
"cooperation","amp",3
"coordinating","research",3
"coronavirus","584",3
"coronavirus","breaking",3
"coronavirus","live",3
"coronavirus","ncov",3
"coronavirus","situation",3
"coronaviruses","emerge",3
"country","regional",3
"current","estimates",3
"data","platform",3
"deaths","575",3
"decision","process",3
"detailed","epidemiological",3
"develop","master",3
"development","efforts",3
"disease","commodity",3
"dogs","cats",3
"dr","maria",3
"drtedros","coronavirus",3
"effective","antiviral",3
"emerge","periodically",3
"epidemiological","information",3
"equipment","medicines",3
"essential","list",3
"evaluate","potential",3
"evolving","situation",3
"experiencing","outbreaks",3
"expert","dr",3
"follow","normal",3
"food","preparation",3
"genetic","sequence",3
"global","clinical",3
"hashtag","askwho",3
"health","clinical",3
"home","spread",3
"houssin","chair",3
"houssin","chairperson",3
"humans","coronavirus",3
"ill","patients",3
"including","17",3
"including","national",3
"incubation","period",3
"infected","humans",3
"infected","patients",3
"infectious","period",3
"informed","advice",3
"informed","regularly",3
"interim","clinical",3
"international","community",3
"international","multidisciplinary",3
"isolating","amp",3
"isolation","separation",3
"issued","guidance",3
"issued","interim",3
"japan","republic",3
"korea","singapore",3
"major","scientific",3
"maria","van",3
"master","clinical",3
"measures","optimized",3
"meat","products",3
"medicine","recommended",3
"meeting","list",3
"mers","emerged",3
"mild","disease",3
"mildly","ill",3
"mildly","symptomatic",3
"mission","including",3
"moment¡¯s","notice",3
"multidisciplinary","mission",3
"national","experts",3
"nature","live",3
"nc0v","developments",3
"ncov","agreed",3
"ncov","chairing",3
"ncov","considered",3
"ncov","convened",3
"ncov","incubation",3
"ncov","patients",3
"ncov","reconvened",3
"ncov","urged",3
"ncov","virus",3
"normal","processes",3
"notice","drtedros",3
"officials","situation",3
"ongoing","efforts",3
"ongoing","read",3
"optimized","supportive",3
"outbreak","constantly",3
"outbreaks","meat",3
"partners","night",3
"patient¡¯s","clinical",3
"people","infected",3
"period","range",3
"persons","ill",3
"pets","live",3
"potential","therapeutics",3
"pre","publication",3
"premier","li",3
"preparation","coronavirus",3
"prevent","human",3
"previous","outbreaks",3
"properly","handled",3
"publication","2019",3
"publication","sharing",3
"published","interim",3
"questions","reply",3
"quickly","amp",3
"quickly","drtedros",3
"rapidly","evolving",3
"received","evidence",3
"record","form",3
"regional","amp",3
"reported","including",3
"research","collaboration",3
"respiratory","route",3
"route","detailed",3
"safely","consumed",3
"sars","emerged",3
"scientific","journals",3
"severely","ill",3
"shared","quickly",3
"sharing","pre",3
"singapore","thailand",3
"situation","dr",3
"specific","medicine",3
"specific","medicines",3
"standardized","clinical",3
"support","ongoing",3
"supportive","care",3
"suspected","patients",3
"systematic","review",3
"thailand","japan",3
"thursday","23",3
"today's","meeting",3
"tomorrow","thursday",3
"transmission","common",3
"transmission","drtedros",3
"transmission","modes",3
"treat","persons",3
"twitter","live",3
"twitter","thread",3
"urgently","required",3
"van","kerkhove",3
"vietnam","drtedros",3
"vietnam","that¡¯s",3
"virus","identification",3
"we¡¯re","encouraged",3
"we¡¯re","monitoring",3
"weeks","drtedros",3
"wide","range",3
"2rfi06k","coronavirus",2
"2rjjugm","stay",2
"2tmebmu","coronavirus",2
"2uoeirx","preliminary",2
"36yrezw","throw",2
"37x5aef","thread",2
"accepted","drtedros",2
"advisory","panel",2
"agencies","conveyance",2
"amp","avoid",2
"amp","breathing",2
"amp","cough",2
"amp","difficulty",2
"amp","eggs",2
"amp","fluids",2
"amp","uncooked",2
"amp","wash",2
"animal","markets",2
"animals","waste",2
"attention","share",2
"avoid","spitting",2
"avoid","travelling",2
"based","dishes",2
"blood","based",2
"breath","amp",2
"breathing","difficulties",2
"breathing","seek",2
"broader","restrictions",2
"cardiovascular","disease",2
"china","reduce",2
"clinics","travel",2
"closely","monitoring",2
"committee","chosen",2
"common","signs",2
"community","engagement",2
"complex","situation",2
"comprehensive","set",2
"conveyance","operators",2
"cook","eggs",2
"cook","meat",2
"cooked","foods",2
"coordinate","international",2
"coronavirus","additional",2
"coronavirus","coronaviruses",2
"coronavirus","health",2
"coronavirus","including",2
"coronavirus","practice",2
"coronavirus","shopping",2
"cough","amp",2
"cough","frequently",2
"cough","shortness",2
"cover","mouth",2
"day","coronavirus",2
"diagnostics","therapeutics",2
"disease","drtedros",2
"disinfect","equipment",2
"don¡¯t","coronavirus",2
"don¡¯t","understand",2
"dr","houssin",2
"drmikeryan","coronavirus",2
"eaten","coronavirus",2
"eating","raw",2
"eggs","avoid",2
"emerging","pathogens",2
"engagement","readiness",2
"evidence","drtedros",2
"existing","medical",2
"exit","screening",2
"experienced","severe",2
"expert","advisory",2
"farm","animals",2
"fever","amp",2
"foodsafety","sick",2
"frequently","clean",2
"frequently","wash",2
"global","experts",2
"globally","scbriand",2
"guidance","risk",2
"hand","hygiene",2
"hand","rub",2
"hands","covering",2
"health","actions",2
"health","clinics",2
"health","conditions",2
"health","facilities",2
"health","practitioners",2
"healthy","frequently",2
"healthy","wash",2
"hygiene","cover",2
"hypertension","diabetes",2
"identification","management",2
"identified","coronavirus",2
"illness","avoid",2
"immediately","amp",2
"immune","systems",2
"incl","respiratory",2
"incl","spitting",2
"including","touching",2
"infection","eating",2
"infection","hand",2
"inform","crew",2
"information","globally",2
"initial","response",2
"international","response",2
"investigated","drtedros",2
"live","animal",2
"management","containment",2
"market","coronavirus",2
"measures","coronavirus",2
"measures","drtedros",2
"meat","avoid",2
"meat","wash",2
"media","reports",2
"medical","attention",2
"milder","symptoms",2
"mitigation","measures",2
"mouth","coronavirus",2
"mouth","nose",2
"nc0v","affect",2
"ncov","stay",2
"people","amp",2
"people","appointed",2
"people","incl",2
"people","including",2
"people","suffering",2
"pneumonia","severe",2
"pre","existing",2
"presentations","earlier",2
"previous","travel",2
"products","avoid",2
"products","disinfect",2
"provided","guidance",2
"public","seek",2
"public","touching",2
"rapid","identification",2
"recommend","exit",2
"reinforce","containment",2
"response","control",2
"risk","communication",2
"risky","amp",2
"sars","coronavirus",2
"scbriand","coronavirus",2
"scbriand","public",2
"severity","drtedros",2
"share","previous",2
"share","travel",2
"sick","cook",2
"signs","incl",2
"situation","i¡¯d",2
"sneezing","cover",2
"spoiled","meat",2
"stray","animals",2
"surveillance","improves",2
"symptoms","avoid",2
"symptoms","fever",2
"symptoms","seek",2
"systems","drtedros",2
"throw","tissue",2
"tissue","throw",2
"touching","avoid",2
"touching","eyes",2
"touching","mask",2
"transmit","easily",2
"travel","agencies",2
"travel","health",2
"travel","stay",2
"travellers","information",2
"travelling","inform",2
"truth","drtedros",2
"uncooked","blood",2
"underlying","health",2
"underway","drmikeryan",2
"vaccines","drtedros",2
"virus","carrotpuffer",2
"washing","hands",2
"waste","amp",2
"water","avoid",2
"water","coronavirus",2
"website","drtedros",2
"wuhan","city",2
"11","patients",1
"27","january",1
"2sgvozk","who¡¯s",1
"2u0ii9k","who¡¯s",1
"3","levels",1
"31","december",1
"35ni6bs","china",1
"35ni6bs","pneumonia",1
"37u0ht7","benzie135",1
"adenovirus","sars",1
"amp","provinces",1
"amp","sars",1
"amp","transmissibility",1
"amp","vaccines",1
"askwho","breaking",1
"authorities","informed",1
"avian","flu",1
"biological","material",1
"china","china",1
"china","pneumonia",1
"cities","amp",1
"city","china",1
"committee","live",1
"contacts","practise",1
"continued","collaboration",1
"coronaviruses","mers",1
"country","office",1
"december","2019",1
"discussed","continued",1
"droplets","contact",1
"flu","adenovirus",1
"fomites","suggesting",1
"hubei","province",1
"illness","chinese",1
"influenza","avian",1
"levels","country",1
"mers","amp",1
"ncov","carrotpuffer",1
"ncov","continuing",1
"ncov","genetic",1
"office","hq",1
"office","regional",1
"pneumonia","china",1
"province","investigations",1
"provinces","conducting",1
"regional","office",1
"remaining","33",1
"report","27",1
"reported","11",1
"sars","person",1
"severity","amp",1
"share","biological",1
"share","data",1
"situation","pneumonia",1
"specific","measures",1
"spreads","amp",1
"stable","condition",1
"therapeutics","amp",1
"therapeutics","vaccines",1
"transmission","mode",1
"transmission","occurred",1
"who¡¯s","recommendations",1
"wuhan","hubei",1
"wuhan","public",1
